crop,valid_season,soil_requirement,ph_text,temp_text,rain_text,organic_carbon_text,humidity_text,source,ph_min,ph_max,temp_min,temp_max,rain_min,rain_max
Acid Lime,Perennial,Deep Loamy,5.5-7.5,20-30,500-750,Not found,Dry,Project Crop Recommendation.docx table 14,5.5,7.5,20.0,30.0,500.0,750.0
Ajwain,Rabi,Well-drained Loamy,6.5 – 7.5,15 – 27,500 – 750 (Semi-Arid),Medium to High,60 – 70%,Project Crop Recommendation.docx table 10,6.5,7.5,15.0,27.0,500.0,750.0
Ajwain,Rabi,Well-drained Loam,6.5 - 7.5,15 - 27,500 - 700,Not found,60% - 70%,Project Crop Recommendation.docx table 16,6.5,7.5,15.0,27.0,500.0,700.0
Ajwain,Rabi,Loamy / Clay Loam,6.5−8.5,15−27,Not Found,High,60−70%,Project Crop Recommendation.docx table 2,6.5,8.5,15.0,27.0,,
Ajwain,Rabi,Sandy Loam,6.5 - 8.5,15 - 27,Low to Moderate,High,60 - 70,Project Crop Recommendation.docx table 30,6.5,8.5,15.0,27.0,,
Ajwain,Rabi,Sandy Loam,8.0−8.3,15−30,Low,0.15−0.23,Not found,Project Crop Recommendation.docx table 4,8.0,8.3,15.0,30.0,,
Aloe Vera,Perennial,Well-drained sandy loam,Up to 8.5,25 – 40,50 – 300 (Very low),Low (Hardy),Low to Medium,Project Crop Recommendation.docx table 17,8.0,9.0,25.0,40.0,50.0,300.0
Aloe Vera,Perennial,Coarse Sandy Loam,7.0 – 8.5,20°C – 40°C,50 – 300 mm,0.2% – 0.5%,Low,Project Crop Recommendation.docx table 3,7.0,8.5,20.0,40.0,50.0,300.0
American Cotton,Kharif,Irrigated Alluvial,5.8 - 8.0,25 - 35,400 - 600,Low (< 0.5%),50 - 70%,Project Crop Recommendation.docx table 34,5.8,8.0,25.0,35.0,400.0,600.0
Amla,Perennial,Light to Medium Sandy,6.5 - 9.5(Salt tolerant),0- 46 (Highly resilient),600 - 800,Low to Medium,30% - 70%,Project Crop Recommendation.docx table 27,6.5,9.5,0.0,46.0,600.0,800.0
Aonla,July - Aug,Sandy Loam / Clay,6.5−9.5,46−48,600−900,Not found,Moderate (Monsoon),Project Crop Recommendation.docx table 6,6.5,9.5,46.0,48.0,600.0,900.0
Aonla,Perennial,Sandy Loam to Clay,6.5 - 9.5,0 - 48,300 - 600,0.25 - 0.40,Humid at fruit set,Project Crop Recommendation.docx table 13,6.5,9.5,0.0,48.0,300.0,600.0
Aonla,Perennial,Stony/Loam,6.5-9.5,10-46,600-1000,Not found,50-80,Project Crop Recommendation.docx table 14,6.5,9.5,10.0,46.0,600.0,1000.0
Aonla,Perennial,Light to Medium,7.0 - 8.5,20∘C to 45∘C,400 - 800 mm,< 0.5% (Low),Low,Project Crop Recommendation.docx table 15,7.0,8.5,20.0,45.0,400.0,800.0
Aonla,Perennial,Sandy Loam / Sodic,6.5 - 9.5,10 - 48,515 - 570 mm,Low - Medium,48 - 80%,Project Crop Recommendation.docx table 18,6.5,9.5,10.0,48.0,515.0,570.0
Aonla,Perennial,Loam/Rocky,Alkaline tolerant,Up to 45 (Hardy),600 - 800 (Rainfed),Not found,40 - 60,Project Crop Recommendation.docx table 20,,,45.0,45.0,600.0,800.0
Aonla,Perennial,Sandy Loam,7.0 - 9.0,0 - 46 (Very hardy),600 - 1000 mm,Low (0.2 - 0.3%),50% - 80%,Project Crop Recommendation.docx table 24,7.0,9.0,0.0,46.0,600.0,1000.0
Aonla,Perennial,Sandy / Gravelly,6.5 - 9.5,20 - 40,300 - 500,Not Found,Low,Project Crop Recommendation.docx table 26,6.5,9.5,20.0,40.0,300.0,500.0
Aonla,Perennial,Sandy Loam to Clayey,7.5 – 8.5,22 – 35 (Mean),700 – 800,0.30 – 0.52,48.2 – 80.3,Project Crop Recommendation.docx table 31,7.5,8.5,22.0,35.0,700.0,800.0
Aonla,Perennial,Sandy Loam / Saline,6.5 – 8.5,25 – 30,600 – 1000,Not found,50 – 80,Project Crop Recommendation.docx table 32,6.5,8.5,25.0,30.0,600.0,1000.0
Aonla,Perennial,Saline/Sodic,6.5 - 9.5,20 - 35,400 - 800,Low (0.1-0.3),30 - 50,Project Crop Recommendation.docx table 8,6.5,9.5,20.0,35.0,400.0,800.0
Aonla,Perennial,Sandy Loam,7.0 - 9.0,20- 45,Low (Drought Hardy),Not found,Low,Project Crop Recommendation.docx table 9,7.0,9.0,20.0,45.0,,
Ashwagandha,Kharif,Sandy Loam / Loam,7.5 - 8.0,20 - 35,500 - 750,Low to Medium,,Project Crop Recommendation.docx table 1,7.5,8.0,20.0,35.0,500.0,750.0
Ashwagandha,Kharif,Sandy Loam,7.5-8.0,20-35,500-750,Not found,Low,Project Crop Recommendation.docx table 14,7.5,8.0,20.0,35.0,500.0,750.0
Ashwagandha,Kharif,Sandy Loam / Light Red Soil,7.5 - 8.0,20 - 35,600 - 750,Not found,Relatively Dry,Project Crop Recommendation.docx table 16,7.5,8.0,20.0,35.0,600.0,750.0
Ashwagandha,Kharif,Sandy Loam / Red,7.5−8.0,20−35,500−750 mm,Moderate,Low (Dry season),Project Crop Recommendation.docx table 2,7.5,8.0,20.0,35.0,500.0,750.0
Ashwagandha,Rabi,Sandy Loam/Light Red,7.5–8.0,20–35,500–750,Low,Low,Project Crop Recommendation.docx table 11,7.5,8.0,20.0,35.0,500.0,750.0
Ashwagandha,Rabi,Sandy Loam / Red,7.5 - 8.0,20 - 35,500 - 750,0.5 - 0.8,40 - 60,Project Crop Recommendation.docx table 25,7.5,8.0,20.0,35.0,500.0,750.0
Bajra,Kharif,Sandy Loam,6.5 - 8.0,25 - 35,400 - 600,Not found,40 - 55,Project Crop Recommendation.docx table 20,6.5,8.0,25.0,35.0,400.0,600.0
Barley,Rabi,Sandy,7.5–9.2,10–30,500–800mm,0.24%,Dry,Project Crop Recommendation.docx table 23,7.5,9.2,10.0,30.0,500.0,800.0
Barley,Rabi,Sandy Loam,6.5 - 8.5,10 - 30,300 - 500,Low-Med (0.2-0.5),40 - 50,Project Crop Recommendation.docx table 8,6.5,8.5,10.0,30.0,300.0,500.0
Barley,Rabi,Sandy Loam to Loamy,7.0 - 8.5,10 - 30,500 - 800mm,Medium,Low,Project Crop Recommendation.docx table 9,7.0,8.5,10.0,30.0,500.0,800.0
Ber,Kharif,Sandy Loam,Not found,High Tolerance,Low,Not found,Low,Project Crop Recommendation.docx table 6,,,,,,
Ber,Perennial,"Sandy, light, even degraded",7.0 – 9.0 (High tolerance),High tolerance (48°C+); summer dormancy,200 – 400 mm,Low (High tolerance),Not Found,Project Crop Recommendation.docx table 12,7.0,9.0,48.0,48.0,200.0,400.0
Ber,Perennial,Sandy Loam,6.5 - 9.0,20 - 35,250 - 500,0.20 - 0.40,Low,Project Crop Recommendation.docx table 13,6.5,9.0,20.0,35.0,250.0,500.0
Ber,Perennial,Sandy / Marginal,7.5 - 8.5,20∘C to 40∘C,200 - 400 mm,< 0.2% (Low),Low,Project Crop Recommendation.docx table 15,7.5,8.5,20.0,40.0,200.0,400.0
Ber,Perennial,Sandy Loam / Clay,7.0 – 8.0,20 – 40,400,Moderate,Low,Project Crop Recommendation.docx table 32,7.0,8.0,20.0,40.0,400.0,400.0
Ber,Perennial,Sandy/Gravel,6.5 - 9.0,15 - 45,200 - 500,Low (0.1-0.3),20 - 40,Project Crop Recommendation.docx table 8,6.5,9.0,15.0,45.0,200.0,500.0
Ber,Rabi,Sandy to Sandy Loam,7.0 - 9.2,15 - 40(Tolerates 50),300 - 500 mm,Very Low,Low,Project Crop Recommendation.docx table 24,7.0,9.2,15.0,40.0,300.0,500.0
Blackgram,Kharif,Heavy Clay,6.5–7.8,25–35,600–800,Medium,High,Project Crop Recommendation.docx table 11,6.5,7.8,25.0,35.0,600.0,800.0
Blackgram,Kharif,Deep loam to Sandy clay loam,7.0 - 8.3 (Actual),25 - 35 (Growth),500 - 1100 (Seasonal),Low (0.47 g kg^{-1}),60 - 80 (Moderate),Project Crop Recommendation.docx table 22,7.0,8.3,25.0,35.0,500.0,1100.0
